Year,Revenue,Net_Income,Gross_Profit,Total_Assets,Total_Liabilities
2010,57838,6314,31263,68153,46677
2011,66504,6436,34911,72882,51983
2012,65492,6171,34201,74638,52239
2013,66415,6740,35172,77478,53089
2014,66683,6503,35445,70509,52961
2015,63056,5452,34325,69667,57637
2016,62799,6329,34577,73490,62291
2017,63525,4857,34729,79804,68823
2018,64661,12513,35280,77648,63046
2019,67161,7314,37029,78547,63679
2020,70372,7120,38575,92918,79366
2021,79474,7618,42399,92377,76226
2022,86392,8910,45816,92187,74914
2023,91471,9074,49590,100495,81858
2024,91854,9578,50110,99467,81296
